female,age,college,nhhld,inc2019,pab2019,emp2020
0,49,1,1,15554.62,0,0
0,40,0,1,6747.9028,2498,0
0,18,1,1,4957.522,2498,1
1,34,0,1,23381.313,0,0
1,26,0,1,8167.4082,2498,0
0,47,0,1,16063.78,0,1
1,53,0,1,2425.7227,2498,0
0,39,1,1,5882.2476,2498,1
1,44,1,1,10828.296,2498,0
1,50,1,1,9011.0244,2498,1
1,26,1,1,4358.5688,2498,0
0,49,0,1,9330.3379,2498,1
0,20,1,1,7533.0435,2498,0
0,32,0,1,13434.648,0,0
0,44,0,1,7766.2402,2498,1
0,22,1,1,9878.7295,2498,0
1,19,0,1,17450.527,0,0
0,33,1,1,12789.465,0,0
0,43,0,1,4700.2319,2498,0
0,48,1,1,6383.6943,2498,1
1,42,0,1,7720.3379,2498,0
1,19,1,1,6017.2632,2498,0
1,27,0,1,4854.8237,2498,0
1,47,0,1,9677.0576,2498,0
1,35,0,1,4847.519,2498,0
0,39,0,1,8209.8047,2498,0
0,53,0,1,15535.199,0,1
1,24,0,1,6493.2886,2498,0
1,41,0,1,5899.2188,2498,0
1,50,0,1,3379.2598,2498,0
0,21,0,1,10082.384,2498,1
0,38,1,1,13743.539,0,1
1,51,1,1,8343.3223,2498,1
0,35,0,1,8796.1084,2498,1
0,33,0,1,7128.1099,2498,0
0,35,0,1,18651.611,0,1
0,53,0,1,6267.6299,2498,1
0,18,0,1,4522.5229,2498,0
1,27,0,1,7309.7827,2498,1
1,51,0,1,7480.0972,2498,0
1,43,1,1,11029.667,2498,1
1,20,1,1,12897.373,0,0
1,21,0,1,14078.599,0,0
0,33,0,1,6063.4683,2498,0
1,30,0,1,8120.9468,2498,1
1,34,1,1,10015.262,2498,0
1,43,0,1,22887.24,0,0
1,33,0,1,4179.2568,2498,0
1,54,0,1,3632.2134,2498,1
0,22,1,1,18013.861,0,1
0,32,1,1,9457.5957,2498,0
1,19,0,1,5813.8726,2498,0
0,54,0,1,11106.436,2498,1
0,18,1,1,8749.4492,2498,0
1,26,0,1,5785.2886,2498,0
1,40,1,1,9540.8486,2498,1
1,27,0,1,7340.5415,2498,1
1,39,0,1,8550.0371,2498,1
1,35,1,1,5071.7769,2498,0
0,51,0,1,6852.8594,2498,1
1,21,0,1,4018.2781,2498,1
1,37,1,1,7718.3652,2498,1
0,21,0,1,2261.4792,2498,1
1,37,0,1,4950.0151,2498,1
0,39,0,1,8008.5122,2498,1
1,48,1,1,3838.0798,2498,0
0,35,0,1,4010.3191,2498,1
1,26,0,1,8664.0322,2498,0
0,22,0,1,13724.181,0,0
0,43,1,1,7489.2119,2498,1
1,31,1,1,7074.5273,2498,0
0,45,0,1,12146.295,2498,0
0,26,0,1,5111.8672,2498,1
1,42,0,1,10812.156,2498,0
0,46,0,1,6073.4629,2498,1
1,23,0,1,11974.474,2498,1
0,51,1,1,6704.2969,2498,0
0,53,1,1,4606.5088,2498,1
0,45,0,1,13956.441,0,0
0,34,1,1,8270.5576,2498,1
1,20,0,1,8750.8926,2498,1
1,40,1,1,4870.9443,2498,0
1,42,0,1,5674.668,2498,0
1,30,1,1,7889.9629,2498,0
1,44,0,1,3133.8403,2498,0
0,29,0,1,5386.4736,2498,1
0,46,0,1,8398.8301,2498,1
1,44,1,1,8514.7871,2498,1
1,20,1,1,9160.0352,2498,0
1,48,1,1,7811.6631,2498,0
0,38,0,1,9749.0313,2498,0
0,23,0,1,2556.3186,2498,1
0,44,1,1,7711.0815,2498,0
1,27,1,1,37642.809,0,0
0,42,1,1,10046.199,2498,1
0,25,0,1,5020.2046,2498,1
0,51,1,1,5448.7725,2498,0
1,19,0,1,8697.3291,2498,1
1,48,1,1,5396.8188,2498,1
1,33,0,1,8075.3042,2498,0
1,24,0,1,7596.1309,2498,0
0,42,1,1,14180.982,0,1
0,47,0,1,6696.5015,2498,0
0,34,0,1,6615.1909,2498,0
1,42,1,1,13351.358,0,0
0,23,0,1,6236.9404,2498,1
0,24,0,1,3797.9658,2498,0
1,23,0,1,7873.2085,2498,1
0,34,0,1,6912.1621,2498,0
1,34,0,1,11668.863,2498,0
0,49,0,1,8747.1875,2498,0
0,20,0,1,21401.742,0,0
1,28,1,1,5853.8911,2498,0
0,19,0,1,13418.464,0,1
0,33,1,1,8627.959,2498,0
0,22,1,1,14396.802,0,1
1,21,0,1,9549.3506,2498,1
0,35,0,1,3919.8792,2498,1
0,23,0,1,8852.2891,2498,0
1,26,1,1,7864.5337,2498,1
1,25,0,1,7012.0464,2498,0
1,33,0,1,4425.4458,2498,1
0,30,0,1,9843.3701,2498,0
1,27,1,1,7188.2241,2498,1
0,34,0,1,5602.8467,2498,0
0,36,0,1,3928.3931,2498,0
0,48,0,1,11058.03,2498,0
1,42,1,1,4678.2119,2498,0
0,48,1,1,11035.285,2498,1
0,32,0,1,4908.9507,2498,0
0,38,1,1,5823.6113,2498,1
0,48,0,1,2129.448,2498,0
1,30,0,1,11643.752,2498,0
1,24,0,1,11469.061,2498,0
0,46,0,1,13473.153,0,0
1,44,0,1,6429.0151,2498,1
0,41,0,1,9188.8652,2498,1
0,30,0,1,5297.9595,2498,0
0,21,0,1,18891.457,0,1
1,39,1,1,10388.196,2498,0
0,36,0,1,20820.338,0,0
0,36,1,1,12820.25,0,1
0,31,1,1,4802.1226,2498,1
0,19,1,1,15278.138,0,1
1,35,0,1,5693.8638,2498,1
0,49,0,1,7668.6196,2498,1
1,51,1,1,9441.9053,2498,0
1,20,1,1,10283.858,2498,1
0,38,0,1,17573.645,0,0
1,39,0,1,17752.705,0,0
0,29,0,1,15206.532,0,1
0,22,1,1,3527.1125,2498,1
1,23,1,1,10842.225,2498,1
0,24,1,1,8930.0693,2498,0
0,45,1,1,4206.0742,2498,1
0,32,0,1,9363.4619,2498,0
0,42,0,1,3384.5007,2498,1
0,32,1,1,10353.472,2498,0
1,51,1,1,8493.4248,2498,0
0,49,1,1,3899.5398,2498,1
1,35,1,1,4722.8462,2498,0
0,42,0,1,5456.6348,2498,1
1,39,0,1,3382.939,2498,1
0,31,0,1,4257.7813,2498,0
0,27,0,1,12741.596,0,1
0,20,1,1,3980.177,2498,0
1,19,0,1,6990.5532,2498,1
1,46,0,1,12211.628,2498,1
1,38,0,1,6058.7397,2498,0
0,54,0,1,9794.3213,2498,0
0,23,0,1,6276.8296,2498,1
0,21,1,1,6545.1836,2498,0
0,19,1,1,9080.9453,2498,0
0,49,0,1,4710.5391,2498,0
0,37,1,1,11025.597,2498,0
1,45,0,1,10131.946,2498,0
0,37,0,1,11128.414,2498,0
0,43,0,1,9005.6553,2498,0
0,42,0,1,7144.7158,2498,1
1,31,0,1,19434.766,0,0
0,39,0,1,4758.1543,2498,0
1,43,1,1,19849.898,0,1
0,47,1,1,9559.8203,2498,1
0,22,1,1,1162.8898,2498,0
1,24,0,1,4713.7524,2498,1
0,22,0,1,9036.4883,2498,0
0,36,1,1,8101.9946,2498,0
1,44,0,1,8665.1807,2498,1
1,40,0,1,9899.7705,2498,0
0,21,0,1,12595.59,0,1
0,29,1,1,5897.79,2498,0
1,23,0,1,8198.1006,2498,1
1,25,1,1,24531.229,0,1
0,21,1,1,6471.1572,2498,1
1,46,0,1,11864.055,2498,0
1,44,0,1,16665.422,0,0
0,51,0,1,10061.588,2498,0
0,28,0,1,8260.665,2498,1
0,20,1,1,9344.3447,2498,1
0,35,0,1,25518.613,0,0
1,39,0,1,10886.498,2498,0
1,49,1,1,5626.2295,2498,1
0,23,0,1,10803.756,2498,1
0,27,1,1,8504.9668,2498,0
0,52,0,1,28143.975,0,0
0,32,1,1,5386.4634,2498,0
